product_id,name,brand,size_text,ean,current_food_group,current_sub_code,canonical_main_code,canonical_sub_code
7339,"Kolme sibula toorvorstikesed, MAKS&MOORITS, 400 g",Kolme,400 g,4740171177496,,,meat_fish,meat_grill_blood_sausages
7346,Corny BIG Brownie batoon 50 g,Corny BIG,50 g,4011800535513,,,sweets_snacks,sweets_chocolate_bars
7354,Knorr aromat maitsesool 90g,Knorr,90 g,7310394005912,,,world_spices,spices_herbs_spice_mix
7356,Santa Maria marinaadisegu kurkidele 100 g,Santa Maria,100 g,6418474131580,,,world_spices,spices_herbs_spice_mix
7364,X-tra piparmündinärimiskumm 180 g,X-tra,180 g,7340011463023,,,sweets_snacks,sweets_gums_mints
7365,Aoste snäkkvorst naturaalne 70 g,Aoste,70 g,3449851328005,,,meat_fish,meat_sausages
7373,"Broileri pooltiivad särtsakad firecracker-marinaadis, TALLEGG, 800 g",Särtsakad,800 g,4740046012914,sauces_oils,sauces_marinades,meat_fish,meat_poultry
7375,"Juust Atleet Originaal, viilutatud, 500 g",Juust Atleet,500 g,4740553691152,dairy_eggs_fats,dairy_cheese_slices,cheese,cheese_regular
7378,"Tartu mill pesto tšilli, küüslauk ja tomat 190g",Tartu,190 g,4743303100980,,,sauces_oils,sauces_pasta_cooking
7381,"Šašlõkk aiaürtidega kaelakarbonaadist, MAKS&MOORITS, 600 g",Šašlõkk,600 g,4740171177328,,,meat_fish,meat_pork
7382,"Suitsuviiner, MAKS&MOORITS, 300 g",Suitsuviiner,300 g,4740171184937,,,meat_fish,meat_sausages
7392,"Barilla pesto genovese, 190g",Barilla,190 g,8076809513753,,,sauces_oils,sauces_pasta_cooking
7394,Coop mahe sinep 275 g,Coop,275 g,6438574314690,,,sauces_oils,sauces_ketchup_mayo
7404,Majonees Provansaal laktoosivaba 380g,Majonees Provansaal,380 g,4740159001843,,,sauces_oils,sauces_ketchup_mayo
7407,Meira must pipar purustatud 27g,Meira,27 g,6414201003021,,,world_spices,spices_basic_salt_pepper
7412,Reisipalaviku smuuti mango-apelsini-granadill 250ml,Reisipalaviku,250 ml,7340191106543,,,drinks,drinks_juices
7424,Gruusia šašlõkk 600g,Gruusia,600 g,4740171177038,,,meat_fish,meat_pork
7429,"Felix Burgerikaste, 220 g","Felix Burgerikaste,",220 g,4740029048916,,,sauces_oils,sauces_ketchup_mayo
7443,Xtra dijon sinep 350g,Xtra,350 g,7340191162600,,,sauces_oils,sauces_ketchup_mayo
7446,"Broilerišašlõkk klassikalises marinaadis, MAKS&MOORITS, 800 g",Broilerišašlõkk,800 g,4740171183398,sauces_oils,sauces_marinades,meat_fish,meat_poultry
7472,"Proteiinijook šokolaadi, 250 ml",Proteiinijook,250 ml,6438460352577,,,dairy_eggs_fats,dairy_other
7473,Maks ja Moorits Chicken Super Snack 85G (Palmik),Maks,85 g,4740171183749,sweets_snacks,sweets_snacks_salty,meat_fish,meat_other
7475,"Šašlõkk klassikalises marinaadis, MAKS&MOORITS, 600 g",Šašlõkk,600 g,4740171081625,,,meat_fish,meat_pork
7493,Coop sidrunimaitsega oliiviõli 250ml,Coop,250 ml,7340191156876,sauces_oils,oils_olive,sauces_oils,oils_olive
7506,Japanese choice paneerimishelbed panko 150g,Japanese,150 g,8851978918802,,,dry_preserves,dry_flour_sugar_baking
7514,Trolli Kummikommid Dracula 200g,Trolli Kummikommid,200 g,4000512364467,,,sweets_snacks,sweets_candies
7516,"Orbit Spearmint närimiskummid purgis, 64g",Orbit Spearmint,64 g,4009900537506,,,sweets_snacks,sweets_gums_mints
7518,MAHE ALFALFA VÕRSETESALAT 110G,MAHE ALFALFA,110 g,6430048012026,produce,,produce,produce_herbs_salads_sprouts
7526,Salvest bbq kaste 390 g,Salvest,390 g,4740073078860,,,sauces_oils,sauces_pasta_cooking
7543,"Kirsi-rummi šašlõkk, RAKVERE, 800 g",Kirsi-rummi,800 g,4740003017877,,,meat_fish,meat_pork
7551,Kalew päevalilleõli 1l,Kalew,1 l,4740493555552,drinks,drinks_beer_cider,sauces_oils,oils_other
7555,Snack chicken 85 g,Snack,85 g,4740574090460,sweets_snacks,sweets_snacks_salty,meat_fish,meat_sausages
7563,Lingham´s Tai tšillikaste 280 ml,Lingham´s Tai,280 ml,9556018000255,sauces_oils,sauces_other,sauces_oils,sauces_pasta_cooking
7566,Põhjamaine seakael truffee kastmes 450 g,Põhjamaine,450 g,4740567999763,dry_preserves,dry_other,meat_fish,meat_pork
7567,"Sempio Korea tshillipasta, 170 g",Sempio Korea,170 g,8801005171472,dry_preserves,dry_pasta_rice,world_spices,spices_asian
7570,"Santa Maria Tortilla Chips Pico de Gallo, maisikrõpsud, 185g",Santa Maria,185 g,7311312008053,,,sweets_snacks,sweets_snacks_salty
7574,"Soolapeekon, NÕO, kg",Soolapeekon,,2357461600002,,,meat_fish,meat_hams
7578,Borges ekstra väärisoliiviõli 1 l,Borges,1 l,8410179100012,sauces_oils,oils_olive,sauces_oils,oils_olive
7581,"Blå Band, gluteenivaba ja väikese laktoosisisaldusega koorekastme koostisained, 3 × 23 g","Blå Band,",3x23 g,7322550030928,dry_preserves,dry_other,world_spices,spices_broth_stock
7586,"Eestimaine broileritiib, TALLEGG, kg",Eestimaine,,2364000700000,sauces_oils,oils_other,meat_fish,meat_poultry
7590,Coop tomatipüree kontsentreeritud 70 g,Coop,70 g,7340191171510,,,dry_preserves,dry_canned_veg
7612,Superkangelase smuuti õun-mango-avokaado-spinat 250ml,Superkangelase,250 ml,7340191117884,,,drinks,drinks_juices
7619,Santa maria nachos krõpsud 185 g,Santa,185 g,7311312008077,,,sweets_snacks,sweets_snacks_salty
7623,"Kotimaista Marineeritud Broilerikoivad, Kg",Kotimaista Marineeritud,,2357310300008,sauces_oils,oils_other,meat_fish,meat_poultry
7625,T/S Snackivorst Parmigiano Reggiano juustuga 85g,T/S Snackivorst,85 g,4740579103929,dairy_eggs_fats,dairy_cheese_slices,meat_fish,meat_sausages
7628,Meira sidrunipipar 95g,Meira,95 g,6414201004561,,,world_spices,spices_herbs_spice_mix
7640,Fruittella Rainbow Vegan nätsukommid 41g (20),Fruittella Rainbow,41 g,87366310,produce,,sweets_snacks,sweets_candies
