product_id,name,brand,size_text,food_group,stores_sample,current_sub_code,new_sub_code,food_group_corrected,food_group_corrected_prev,new_sub_code_prev,confidence,final_food_group,final_sub_code,final_confidence,change_reason
18380,"Põltsamaa Valmis! Tummine seljanka supp, 380 g",Põltsamaa Valmis!,380 g,other,"Barbora, Coop, Maxima, Prisma, Selver",,dry_other,other,dry_preserves,dry_soups_noodles,fallback,drinks,drinks_spirits,high,proposed_group_invalid;override_with_name_rules
18405,Collagen Edition Tsitruse-kollageeni superfood toorbatoon Be More 35g,Collagen Edition,35 g,other,Prisma,,sweets_chocolate_bars,sweets_snacks,sweets_snacks,sweets_chocolate_bars,high,sweets_snacks,sweets_chocolate_bars,high,
18406,Kiilto puhastussprei klaasile 600ml,Kiilto,600 ml,other,Prisma,,hh_cleaners,household,other,,high,household,hh_cleaners,high,
18419,Foodin Candy datlibatoon salmiakki 35g,Foodin Candy,35 g,other,Prisma,,sweets_chocolate_bars,sweets_snacks,sweets_snacks,sweets_chocolate_bars,high,sweets_snacks,sweets_chocolate_bars,high,
18425,Wc-seep power fresh lemon 39g,Wc-seep,39 g,other,Prisma,,produce_tropical,produce,personal_care,pcare_soap,high,personal_care,pcare_soap,high,override_with_name_rules
18428,"Kihisevad vitamiinitabletid raud + C vitamiin, mustsõstra 20tk",Kihisevad,,other,Prisma,,dry_other,other,other,,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent
18445,Rainbow katlakivieemaldaja 500ml,Rainbow,500 ml,other,Prisma,,dry_other,other,other,,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent
18451,"Treeningujook arbuusi, 250 g",Treeningujook,250 g,other,Prisma,,produce_tropical,produce,other,,high,drinks,drinks_spirits,high,override_with_name_rules
18508,Xtra maasikamoos 800 g,Xtra,800 g,other,Prisma,,produce_berries,produce,produce,produce_berries,high,drinks,drinks_spirits,high,override_with_name_rules
18538,Coop Multivitamiin 100tk,Coop Multivitamiin,,other,Prisma,,dry_other,other,other,,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent
18540,BAREBELLS Proteiinibatoon Soft Bar Chokladboll 55g,BAREBELLS Proteiinibatoon,55 g,other,Prisma,,sweets_chocolate_bars,sweets_snacks,sweets_snacks,sweets_chocolate_bars,high,sweets_snacks,sweets_chocolate_bars,high,
18557,Presto pilaff 300g,Presto,300 g,other,"Barbora, Coop, Maxima, Prisma, Selver",,dry_other,other,other,,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent
18615,Tsitraadi lahus 250ml,Tsitraadi,250 ml,other,Prisma,,dry_other,other,other,,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent
18619,HIPP SMUUTI PIRN-PL-MUST.S 100G 4 K,HIPP SMUUTI,100 g,other,Prisma,,produce_apples_pears,produce,other,,high,produce,produce_smoothies_fresh_juices,high,override_with_name_rules
18657,"Aminohappejook Juicy BCAA meloni-vaarika, 0,33 L",Aminohappejook Juicy,0.33 L,other,Prisma,,produce_tropical,produce,produce,produce_tropical,high,produce,produce_berries,high,override_with_name_rules
18673,Sonett nõudepesuvahend sidruniga1l,Sonett,1 l,other,Prisma,,produce_tropical,produce,household,hh_dishwashing,high,household,hh_laundry,high,override_with_name_rules
18675,"Mokate beauty sheik maasika, kollageeni ja c-vitamiiniga, 54g",Mokate,54 g,other,Prisma,,produce_berries,produce,produce,produce_berries,high,produce,produce_berries,high,
18680,"Brunberg Mocca vahukommid šokolaadis 6 tk, 150g",Brunberg Mocca,150 g,other,Prisma,,sweets_chocolate_bars,sweets_snacks,sweets_snacks,sweets_chocolate_bars,high,sweets_snacks,sweets_chocolate_bars,high,
18681,Joogitabletid C-vitamiiniga 80 g,Joogitabletid C-vitamiiniga,80 g,other,"Coop, Prisma",,dry_other,other,other,,fallback,drinks,drinks_spirits,high,proposed_group_invalid;override_with_name_rules
18685,Tri-Bio nõudepesumasina tabletid 25tk,Tri-Bio,25 pcs,other,"Coop, Prisma, Rimi",,hh_dishwashing,household,other,,high,household,hh_dishwashing,high,
18686,Bref power active wc-värskendaja hawaii 50g,Bref,50 g,other,Prisma,,dry_other,other,other,,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent
18688,Kaltsium 800+ magneesium vitamiinid 180tk 262g,Kaltsium,262 g,other,Prisma,,dry_other,other,other,,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent
18721,Makrobios tsink tabletid 100tk 35g,Makrobios,35 g,other,Prisma,,meat_hams,meat_fish,meat_fish,meat_hams,high,meat_fish,meat_hams,high,
18738,ICONFIT Ilukollagen - Maasikas-münt,ICONFIT Ilukollagen,,other,Prisma,,produce_berries,produce,produce,produce_berries,high,produce,produce_berries,high,
18744,Magnex tsitraat + vitamiin B6 100 tk,Magnex,,other,Prisma,,dry_other,other,other,,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent
18750,COOP C-vitamiin 500mg 90tbl,COOP C-vitamiin,,other,Prisma,,dry_other,other,other,,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent
18766,Hallituse eemaldaja Mayeri All-Care 500ml,Hallituse,500 ml,other,"Prisma, Selver",,dry_other,other,other,,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent
18779,Pannkoogid šokolaadi-vaarikatäidisega 200 g,Pannkoogid,200 g,other,"Coop, Prisma",,produce_berries,produce,produce,produce_berries,high,drinks,drinks_spirits,high,override_with_name_rules
18780,SINI universaalsed koristuslapid 27 tk,SINI,27 pcs,other,Prisma,,dry_other,other,other,,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent
18781,BAREBELLS Proteiinibatoon Cara&hew 55g,BAREBELLS Proteiinibatoon,55 g,other,Prisma,,sweets_chocolate_bars,sweets_snacks,sweets_snacks,sweets_chocolate_bars,high,sweets_snacks,sweets_chocolate_bars,high,
18784,Spirulina pulber 100g,Spirulina,100 g,other,Prisma,,dry_other,other,other,,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent
18796,Lenor lõhnagraanulid Amethyst 210g,Lenor,210 g,other,Prisma,,dry_other,other,other,,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent
18802,Hüdrogeel põletusele 125 ml,Hüdrogeel,125 ml,other,Prisma,,dry_other,other,other,,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent
18829,Hortex brokolisegu 400g,Hortex,400 g,other,Prisma,,produce_root_veg,produce,other,,high,produce,produce_root_veg,high,
18868,Foodin mahe kakaopulber 250 g,Foodin,250 g,other,Prisma,,drinks_syrups_powders,drinks,other,,high,drinks,drinks_spirits,high,override_with_name_rules
18902,Rainbow nõudepesumasina loputusvahend 500 ml,Rainbow,500 ml,other,Prisma,,hh_dishwashing,household,other,,high,household,hh_dishwashing,high,
18911,Baltais Glasuuritud karamellimaitseline dessert C-vitamiiniga 38g,Baltais Glasuuritud,38 g,other,Prisma,,dairy_desserts,dairy_eggs_fats,sweets_snacks,sweets_candies,high,sweets_snacks,sweets_candies,high,override_with_name_rules
18946,Nõudepesumasina tabletid Xtra 60tk,Nõudepesumasina,60 pcs,other,Prisma,,hh_dishwashing,household,other,,high,household,hh_dishwashing,high,
18957,Nocco Berruba funktsionaalne jook 330ml,Nocco Berruba,330 ml,other,"Prisma, Rimi",,dry_other,other,other,,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent
18981,Hyvän Olon D-vitamiini tabletid 100µG 90 tk,Hyvän Olon,,other,Prisma,,dry_other,other,other,,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent
19002,"Celiko Gumis kakaojook vitamiinidega, gluteenivaba",Celiko Gumis,,other,Prisma,,bakery_gluten_free,bakery,bakery,bakery_gluten_free,high,bakery,bakery_gluten_free,high,
